epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn
38,1,1,85.0418,83.9941,78.4962,90.3202,43233.96359253,90.3962,65.7944,79.8186,55.9618,2623.24164963,121318.0000,47615.0000,5103.0000,55556.0000,13044.0000,7622.0000,704.0000,554.0000,6186.0000,178.0000
39,1,1,84.9627,84.0412,79.1886,89.5273,43368.00053406,89.5828,64.0073,80.0454,53.3233,2818.21264076,121318.0000,48035.0000,5619.0000,55040.0000,12624.0000,7622.0000,706.0000,618.0000,6122.0000,176.0000
40,1,1,85.0187,84.1442,79.5035,89.3604,43383.66787720,89.4122,63.5995,79.9320,52.8090,2837.77584839,121318.0000,48226.0000,5742.0000,54917.0000,12433.0000,7622.0000,705.0000,630.0000,6110.0000,177.0000
41,1,1,85.1094,84.1082,78.8094,90.1709,42946.54145813,90.2257,65.4292,79.9320,55.3810,2683.17771339,121318.0000,47805.0000,5211.0000,55448.0000,12854.0000,7622.0000,705.0000,568.0000,6172.0000,177.0000
42,1,1,85.0814,84.1998,79.5018,89.4878,43064.63064575,89.6221,64.0944,80.0454,53.4444,2822.20815849,121318.0000,48225.0000,5665.0000,54994.0000,12434.0000,7622.0000,706.0000,615.0000,6125.0000,176.0000
43,1,1,85.1374,84.0604,78.3808,90.6275,42700.57936096,90.6193,66.2577,79.5918,56.7502,2528.46240807,121318.0000,47545.0000,4917.0000,55742.0000,13114.0000,7622.0000,702.0000,535.0000,6205.0000,180.0000
44,1,1,85.1918,84.2676,79.3172,89.8771,42710.66082764,89.9501,64.7654,79.8186,54.4892,2764.00525665,121318.0000,48113.0000,5419.0000,55240.0000,12546.0000,7622.0000,704.0000,588.0000,6152.0000,178.0000
45,1,1,85.2207,84.1532,78.4846,90.7044,42416.48999023,90.6717,66.4147,79.7052,56.9231,2554.78044701,121318.0000,47608.0000,4879.0000,55780.0000,13051.0000,7622.0000,703.0000,532.0000,6208.0000,179.0000
46,1,1,85.1852,84.2600,79.3073,89.8726,42598.07929993,89.9764,64.8250,79.8186,54.5736,2748.19021225,121318.0000,48107.0000,5421.0000,55238.0000,12552.0000,7622.0000,704.0000,586.0000,6154.0000,178.0000
47,1,1,85.2594,84.1470,78.2423,91.0156,42257.78646851,90.8948,66.9209,79.5918,57.7303,2486.16053772,121318.0000,47461.0000,4685.0000,55974.0000,13198.0000,7622.0000,702.0000,514.0000,6226.0000,180.0000
48,1,1,85.3047,84.2667,78.7072,90.6714,42195.34925842,90.6586,66.4151,79.8186,56.8659,2578.87906837,121318.0000,47743.0000,4912.0000,55747.0000,12916.0000,7622.0000,704.0000,534.0000,6206.0000,178.0000
49,1,1,85.1424,84.3262,79.9354,89.2275,42840.99458313,89.3335,63.5589,80.3855,52.5574,2932.69475555,121318.0000,48488.0000,5854.0000,54805.0000,12171.0000,7622.0000,709.0000,640.0000,6100.0000,173.0000
50,1,1,85.2676,84.3366,79.3238,90.0258,42330.45080566,90.0813,65.1613,80.1587,54.8913,2772.77414131,121318.0000,48117.0000,5331.0000,55328.0000,12542.0000,7622.0000,707.0000,581.0000,6159.0000,175.0000
51,1,1,85.2751,84.2096,78.5275,90.7781,41944.74548340,90.7242,66.5721,79.8186,57.0965,2563.14482498,121318.0000,47634.0000,4839.0000,55820.0000,13025.0000,7622.0000,704.0000,529.0000,6211.0000,178.0000
52,1,1,85.2932,84.3738,79.4095,90.0002,42209.07841492,90.0420,65.0713,80.1587,54.7637,2759.63869095,121318.0000,48169.0000,5352.0000,55307.0000,12490.0000,7622.0000,707.0000,584.0000,6156.0000,175.0000
